nr,battle,element,first,second
302,battle_of_jena–auerstedt,Location,"Jena and Auerstedt, Germany.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}50°55′38″N 11°35′10″E﻿ / ﻿50.92722°N 11.58611°E","Jena and Auerstedt, Germany.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}50°55′38″N 11°35′10″E﻿ / ﻿50.92722°N 11.58611°E"
303,battle_of_jena–auerstedt,Result,French victory,French victory
304,battle_of_jena–auerstedt,Belligerents,French Empire,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}  Prussia  Saxony"
305,battle_of_jena–auerstedt,Commanders and leaders,Jena:  Napoleon I  Jean-Baptiste Bessières  François Joseph Lefebvre  Jean-de-Dieu Soult  Jean Lannes  Michel Ney  Pierre Augereau  Joachim Murat Auerstedt:  Louis-Nicolas Davout  Charles-Étienne Gudin,Jena:  Prince of Hohenlohe  Ernst von Rüchel Auerstedt:  Duke of Brunswick †  Frederick William III of Prussia  Gerhard von Scharnhorst  Count of Kalckreuth  Gebhard von Blücher
306,battle_of_jena–auerstedt,Strength,"40,000 deployed to do battle  26,000  Total: 66,000","55,000  64,000  Total: 119,000"
307,battle_of_jena–auerstedt,Casualties and losses,"5,000-6,000  7,052-7,100  Total: 12,600 killed, wounded, missing or captured","26,000-27,000  13,000-15,000  Total: 41,000 killed, wounded, missing or captured"
308,battle_of_czarnowo,Battle,Battle of Czarnowo,Battle of Czarnowo
309,battle_of_czarnowo,Date,23 December 1806,23 December 1806
310,battle_of_czarnowo,Location,"Czarnowo, Poland.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}52°28′31″N 20°46′23″E﻿ / ﻿52.475278°N 20.773056°E","Czarnowo, Poland.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}52°28′31″N 20°46′23″E﻿ / ﻿52.475278°N 20.773056°E"
311,battle_of_czarnowo,Result,French victory,French victory
312,battle_of_czarnowo,Belligerents,French Empire,Russian Empire  Kingdom of Prussia
313,battle_of_czarnowo,Commanders and leaders,Napoleon Bonaparte  Louis Davout  Jean Bessières  Pierre Augereau  Jean Marchand,Mikhail Kamensky  A. Ostermann-Tolstoy  M. Barclay de Tolly  Karl La Roche-Aymon  Anton von L'Estocq
314,battle_of_czarnowo,Strength,"8,000-23,200 20 guns","5,000-5,500 48 guns"
315,battle_of_czarnowo,Casualties and losses,"Czarnowo: 846-1,400 Bieżuń: light Kołoząb: 518 Soldau: 221","Czarnowo: 853-1,401 Bieżuń: 500, 5 guns Kołoząb: unknown, 6 guns Soldau: 800, 2 guns"
316,battle_of_eylau,Battle,Battle of Eylau,Battle of Eylau
317,battle_of_eylau,Date,7-8 February 1807,7-8 February 1807
318,battle_of_eylau,Location,"Preussisch Eylau, East Prussia.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}54°24′N 20°38′E﻿ / ﻿54.400°N 20.633°E","Preussisch Eylau, East Prussia.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}54°24′N 20°38′E﻿ / ﻿54.400°N 20.633°E"
319,battle_of_eylau,Result,French victory,French victory
320,battle_of_eylau,Belligerents,French Empire,Russian Empire  Kingdom of Prussia
321,battle_of_eylau,Commanders and leaders,Napoleon Bonaparte  Pierre Augereau   Louis-Alexandre Berthier  Jean-Baptiste Bessières  Louis-Nicolas Davout  Joachim Murat  Michel Ney  Jean-de-Dieu Soult,Levin August von Bennigsen  Barclay de Tolly   Pyotr Bagration  Anton Wilhelm von L'Estocq
322,battle_of_eylau,Strength,"75,000: Napoleon: 45,000 Ney: 14,500 Davout: 15,000 300 guns","76,000-83,000:  Bennigsen: 67,000  L'Estocq: 9,000 400 guns"
323,battle_of_eylau,Casualties and losses,"15,000-29,643","15,000-26,000"
324,battle_of_friedland,Battle,Battle of Friedland,Battle of Friedland
325,battle_of_friedland,Date,14 June 1807,14 June 1807
326,battle_of_friedland,Location,"Friedland, Prussia.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}54°27′N 21°01′E﻿ / ﻿54.450°N 21.017°E","Friedland, Prussia.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}54°27′N 21°01′E﻿ / ﻿54.450°N 21.017°E"
327,battle_of_friedland,Result,French victory Treaty of Tilsit End of Russian hostilities towards France Russia enters the Continental System End of the Land Campaigns of the Fourth Coalition,French victory Treaty of Tilsit End of Russian hostilities towards France Russia enters the Continental System End of the Land Campaigns of the Fourth Coalition
328,battle_of_friedland,Belligerents,French Empire  Kingdom of Saxony,Russian Empire
329,battle_of_friedland,Commanders and leaders,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}  Napoleon I  Jean Lannes  Michel Ney  Claude Victor-Perrin  Édouard Mortier  Nicolas Oudinot  Emmanuel de Grouchy  Jean-Baptiste Bessières",Levin August von Bennigsen  Pyotr Bagration  A. I. Gorchakov  Matvei Platov
330,battle_of_friedland,Strength,"80,000  118 cannons","46,000-60,000 120 cannons"
331,battle_of_friedland,Casualties and losses,"8,000-10,000","20,000-40,000 killed, wounded and captured 80 guns"
332,battle_of_somosierra,Battle,Battle of Somosierra,Battle of Somosierra
333,battle_of_somosierra,Date,30 November 1808,30 November 1808
334,battle_of_somosierra,Location,"Somosierra Pass, Community of Madrid, Spain.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}41°09′N 3°35′W﻿ / ﻿41.150°N 3.583°W","Somosierra Pass, Community of Madrid, Spain.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}41°09′N 3°35′W﻿ / ﻿41.150°N 3.583°W"
335,battle_of_somosierra,Result,Franco-Polish victory,Franco-Polish victory
336,battle_of_somosierra,Belligerents,France Spain Duchy of Warsaw,Spain
337,battle_of_somosierra,Commanders and leaders,Napoleon I Jan Leon Kozietulski Ambroży Mikołaj Skarżyński,Benito de San Juan †
338,battle_of_somosierra,Strength,"8,000","12,000"
339,battle_of_somosierra,Casualties and losses,300,"2,200"
340,battle_of_teugen-hausen,Battle,Battle of Teugen-Hausen,Battle of Teugen-Hausen
341,battle_of_teugen-hausen,Date,19 April 1809,19 April 1809
342,battle_of_teugen-hausen,Location,"Teugn, Bavaria.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}48°53′N 12°01′E﻿ / ﻿48.88°N 12.01°E","Teugn, Bavaria.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}48°53′N 12°01′E﻿ / ﻿48.88°N 12.01°E"
343,battle_of_teugen-hausen,Result,French victory,French victory
344,battle_of_teugen-hausen,Belligerents,Austrian Empire,French Empire  Kingdom of Bavaria
345,battle_of_teugen-hausen,Commanders and leaders,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}  Friedrich von Hohenzollern  Franz von Rosenberg  Ludwig Thierry",Napoleon  Louis Davout  Louis Montbrun  François Lefebvre
346,battle_of_teugen-hausen,Strength,"Teugen-Hausen: 18,000 Dünzling: 12,300 Arnhofen: 5,000","Teugen-Hausen: 28,000 Dünzling: 4,000 Arnhofen: 7,600"
347,battle_of_teugen-hausen,Casualties and losses,"Teugen-Hausen: 3,862 Dünzling: 1,084 Arnhofen: 400 Total: 4,970","Teugen-Hausen: 4,000 Dünzling: 233 Arnhofen: 227 Total: 2,400-4,400"
348,battle_of_abensberg,Battle,Battle of Abensberg,Battle of Abensberg
349,battle_of_abensberg,Date,20 April 1809,20 April 1809
350,battle_of_abensberg,Location,"Abensberg, Bavaria, Germany.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}48°48′N 11°51′E﻿ / ﻿48.800°N 11.850°E","Abensberg, Bavaria, Germany.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}48°48′N 11°51′E﻿ / ﻿48.800°N 11.850°E"
351,battle_of_abensberg,Result,French victory,French victory
352,battle_of_abensberg,Belligerents,First French Empire  Kingdom of Bavaria  Württemberg,Austrian Empire
353,battle_of_abensberg,Commanders and leaders,Napoleon I  Jean Lannes  François Lefebvre  Karl von Wrede  Dominique Vandamme,Archduke Charles  Johann von Hiller  Archduke Louis  Michael Kienmayer
354,battle_of_abensberg,Strength,"55,000","42,000"
355,battle_of_abensberg,Casualties and losses,"1,000","7,200, 12 guns"
356,battle_of_landshut,Battle,Battle of Landshut,Battle of Landshut
357,battle_of_landshut,Date,21 April 1809,21 April 1809
358,battle_of_landshut,Location,"Landshut, Bavaria.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}48°32′23″N 12°09′03″E﻿ / ﻿48.53972°N 12.15083°E","Landshut, Bavaria.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}48°32′23″N 12°09′03″E﻿ / ﻿48.53972°N 12.15083°E"
359,battle_of_landshut,Result,French victory,French victory
360,battle_of_landshut,Belligerents,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0} France  Bavaria  Württemberg",Austria
361,battle_of_landshut,Commanders and leaders,Napoleon I  Jean Lannes  André Masséna,Johann von Hiller
362,battle_of_landshut,Strength,"60,000-77,000","42,000"
363,battle_of_landshut,Casualties and losses,"less than 1,000","8,000"
364,battle_of_eckmühl,Battle,Battle of Eckmühl,Battle of Eckmühl
365,battle_of_eckmühl,Date,22 April 1809,22 April 1809
366,battle_of_eckmühl,Location,"Eggmühl, Bavaria.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}48°50′38″N 12°10′56″E﻿ / ﻿48.8438°N 12.1823°E","Eggmühl, Bavaria.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}48°50′38″N 12°10′56″E﻿ / ﻿48.8438°N 12.1823°E"
367,battle_of_eckmühl,Result,French victory,French victory
368,battle_of_eckmühl,Belligerents,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0} France  Bavaria  Württemberg",Austria
369,battle_of_eckmühl,Commanders and leaders,Napoleon I  Louis-Nicolas Davout  François Joseph Lefebvre,Archduke Charles  Archduke John
370,battle_of_eckmühl,Strength,"70,000","75,000"
371,battle_of_eckmühl,Casualties and losses,"3,000","10,700"
372,battle_of_ratisbon,Battle,Battle of Ratisbon,Battle of Ratisbon
373,battle_of_ratisbon,Date,23 April 1809,23 April 1809
374,battle_of_ratisbon,Location,"Regensburg, Principality of Regensburg.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}49°1′N 12°5′E﻿ / ﻿49.017°N 12.083°E","Regensburg, Principality of Regensburg.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}49°1′N 12°5′E﻿ / ﻿49.017°N 12.083°E"
375,battle_of_ratisbon,Result,French victory,French victory
376,battle_of_ratisbon,Belligerents,French Empire,Austrian Empire
377,battle_of_ratisbon,Commanders and leaders,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}  Napoleon I   Jean Lannes  Louis-Nicolas Davout",Archduke Charles
378,battle_of_ratisbon,Strength,"37,000-72,000","26,000-78,000"
379,battle_of_ratisbon,Casualties and losses,"1,000-1,500","8,900"
380,battle_of_aspern-essling,Battle,Battle of Aspern-Essling,Battle of Aspern-Essling
381,battle_of_aspern-essling,Date,21-22 May 1809,21-22 May 1809
382,battle_of_aspern-essling,Location,"Lobau, Vienna.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}48°12′47″N 16°30′09″E﻿ / ﻿48.21306°N 16.50250°E","Lobau, Vienna.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}48°12′47″N 16°30′09″E﻿ / ﻿48.21306°N 16.50250°E"
383,battle_of_aspern-essling,Result,Austrian victory,Austrian victory
384,battle_of_aspern-essling,Belligerents,Austria,France
385,battle_of_aspern-essling,Commanders and leaders,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}  Archduke Charles  Johann von Hiller  Heinrich von Bellegarde  Friedrich von Hohenzollern-Hechingen  Franz von Rosenberg  Johann I of Liechtenstein",Napoleon I  André Masséna  Jean Lannes   Jean-Baptiste Bessières
386,battle_of_aspern-essling,Strength,"98,260; 292 guns","80,130; 154 guns"
387,battle_of_aspern-essling,Casualties and losses,"22,285 to 22,900; 2 guns","19,980 to 24,001; 3 guns"
388,battle_of_wagram,Battle,Battle of Wagram,Battle of Wagram
389,battle_of_wagram,Date,5-6 July 1809,5-6 July 1809
390,battle_of_wagram,Location,"Wagram, northeast of Vienna.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}48°17′58″N 16°33′52″E﻿ / ﻿48.29944°N 16.56444°E","Wagram, northeast of Vienna.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}48°17′58″N 16°33′52″E﻿ / ﻿48.29944°N 16.56444°E"
391,battle_of_wagram,Result,French victory Armistice of Znaim Treaty of Schönbrunn End of the Fifth Coalition,French victory Armistice of Znaim Treaty of Schönbrunn End of the Fifth Coalition
392,battle_of_wagram,Belligerents,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0} France  Bavaria  Saxony  Italy  Duchy of Warsaw",Austria
393,battle_of_wagram,Commanders and leaders,Napoleon I  Nicolas Oudinot   Louis-Nicolas Davout  André Masséna  Auguste de Marmont  Jean-Baptiste Bessières   Jean Bernadotte  Karl Philipp von Wrede  Eugène de Beauharnais  Jacques Macdonald  Ambroży Mikołaj Skarżyński,Archduke Charles   Armand von Nordmann †  Heinrich von Bellegarde  Prince von Hohenzollern  Johann Kollowrat  Franz von Rosenberg  Johann von Klenau  Johann I of Liechtenstein
394,battle_of_wagram,Strength,"154,000-171,939 584-617 guns","136,000-173,000 388-414 guns"
395,battle_of_wagram,Casualties and losses,"25,000-40,000 21 guns","26,000-41,250 20 guns"
396,battle_of_vitebsk,Battle,Battle of Vitebsk,Battle of Vitebsk
397,battle_of_vitebsk,Date,26-27 July 1812,26-27 July 1812
398,battle_of_vitebsk,Location,"Vitebsk, Russian Empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}55°11′N 30°10′E﻿ / ﻿55.183°N 30.167°E","Vitebsk, Russian Empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}55°11′N 30°10′E﻿ / ﻿55.183°N 30.167°E"
399,battle_of_vitebsk,Result,French victory,French victory
400,battle_of_vitebsk,Belligerents,French Empire,Russian Empire
401,battle_of_vitebsk,Commanders and leaders,Napoleon I,Pyotr Konovnitsyn   von der Pahlen
402,battle_of_vitebsk,Strength,"28,000","20,000"
403,battle_of_vitebsk,Casualties and losses,"3,400 killed, wounded 300 captured","2,700 killed, wounded 1,100 captured"
404,battle_of_smolensk_(1812),Battle,Battle of Smolensk,Battle of Smolensk
405,battle_of_smolensk_(1812),Date,16-18 August 1812,16-18 August 1812
406,battle_of_smolensk_(1812),Location,"Smolensk, Russian Empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}54°46′N 32°02′E﻿ / ﻿54.767°N 32.033°E","Smolensk, Russian Empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}54°46′N 32°02′E﻿ / ﻿54.767°N 32.033°E"
407,battle_of_smolensk_(1812),Result,French victory,French victory
408,battle_of_smolensk_(1812),Belligerents,French Empire  Duchy of Warsaw,Russian Empire
409,battle_of_smolensk_(1812),Commanders and leaders,Napoleon Bonaparte,Barclay de Tolly  Pyotr Bagration  Nikolay Raevsky  Dmitry Dokhturov
410,battle_of_smolensk_(1812),Strength,"45,000 of 180,000","30,000 of 120,000"
411,battle_of_smolensk_(1812),Casualties and losses,"9,000-10,000 killed, wounded or captured","6,000-14,000 killed, wounded or captured"
412,battle_of_shevardino,Battle,Battle of Shevardino,Battle of Shevardino
413,battle_of_shevardino,Date,5 September 1812,5 September 1812
414,battle_of_shevardino,Location,"Near Borodino, Russian Empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}55°30′25″N 35°47′48″E﻿ / ﻿55.50694°N 35.79667°E","Near Borodino, Russian Empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}55°30′25″N 35°47′48″E﻿ / ﻿55.50694°N 35.79667°E"
415,battle_of_shevardino,Result,French victory,French victory
416,battle_of_shevardino,Belligerents,French Empire  Kingdom of Italy  Kingdom of Naples  Duchy of Warsaw,Russian Empire
417,battle_of_shevardino,Commanders and leaders,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}  Napoleon  Louis-Nicolas Davout  E. de Beauharnais  Joachim Murat  Józef Poniatowski",Pyotr Bagration  Andrei Gorchakov
418,battle_of_shevardino,Strength,"36,000","20,000"
419,battle_of_shevardino,Casualties and losses,"4,000","6,000"
420,battle_of_borodino,Battle,Battle of Borodino,Battle of Borodino
421,battle_of_borodino,Date,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}N.S.: 7 September 1812O.S.: 26 August 1812",".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}N.S.: 7 September 1812O.S.: 26 August 1812"
422,battle_of_borodino,Location,"Borodino, Russian Empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}55°31′N 35°49′E﻿ / ﻿55.517°N 35.817°E","Borodino, Russian Empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}55°31′N 35°49′E﻿ / ﻿55.517°N 35.817°E"
423,battle_of_borodino,Result,French victory,French victory
424,battle_of_borodino,Belligerents,France Poland Italy Naples Bavaria Westphalia Württemberg  Saxony Hesse,Russia
425,battle_of_borodino,Commanders and leaders,Napoleon I  L.-A. Berthier  J.-B. Bessières  L.-N. Davout   Édouard Mortier  Michel Ney  E. de Beauharnais  Joachim Murat  Józef Poniatowski  J.-A. Junot,Mikhail Kutuzov  Barclay de Tolly  Pyotr Bagration   K. W. von Toll  Nikolay Tuchkov   L. A. von Bennigsen  K. F. Baggovut  Nikolay Raevsky  Mikhail Miloradovich  Dmitry Dokhturov  Matvei Platov
426,battle_of_borodino,Strength,"103,000-135,000","125,000-160,000"
427,battle_of_borodino,Casualties and losses,"28,000-35,000 killed, wounded or captured","44,000-52,000 killed, wounded or captured"
428,battle_of_krasnoi,Battle,Battle of Krasnoi,Battle of Krasnoi
429,battle_of_krasnoi,Date,15 November  1812 - 18 November  1812,15 November  1812 - 18 November  1812
430,battle_of_krasnoi,Location,"Krasny, Russian Empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}54°33′36″N 31°25′48″E﻿ / ﻿54.56000°N 31.43000°E","Krasny, Russian Empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}54°33′36″N 31°25′48″E﻿ / ﻿54.56000°N 31.43000°E"
431,battle_of_krasnoi,Result,Russian victory,Russian victory
432,battle_of_krasnoi,Belligerents,France  Kingdom of Westphalia Duchy of Warsaw Kingdom of Italy,Russian Empire
